loss,accuracy,lr
1.3492488132135538,0.59375,0.01
1.6008079164416733,0.5,0.01
1.278575134413982,0.5625,0.01
1.7382178708243716,0.5,0.01
1.3841351641167152,0.65625,0.01
1.3133027663125407,0.59375,0.01
1.82781541679603,0.5,0.01
1.6396793608206424,0.40625,0.01
1.4818146804953252,0.625,0.01
1.27392111593239,0.625,0.01
1.6172216462468718,0.53125,0.01
1.456453623895024,0.46875,0.01
1.7519988594053884,0.4375,0.01
1.4467214793106695,0.53125,0.01
1.3956488513538097,0.53125,0.01
1.178021358487797,0.65625,0.01
1.591269818054767,0.5625,0.01
1.5172344395568778,0.625,0.01
1.6599436183552834,0.5,0.01
1.1966308915384276,0.71875,0.01
1.4053666373077847,0.625,0.01
1.700034465590457,0.5,0.01
1.4465768750712047,0.65625,0.01
1.1517186393555512,0.75,0.01
1.5539598838161046,0.53125,0.01
1.6099380803987997,0.4375,0.01
1.6400021777348652,0.46875,0.01
1.6024831238766728,0.4375,0.01
1.3414451793026743,0.65625,0.01
1.4331905645017105,0.53125,0.01
1.4941729643796922,0.625,0.01
1.4754518895378816,0.53125,0.01
1.7737017446082461,0.53125,0.01
1.562732606796655,0.53125,0.01
1.515801856477565,0.59375,0.01
1.241568837662293,0.65625,0.01
1.3437346523579272,0.5625,0.01
1.5318057586449227,0.5,0.01
1.5281474272324012,0.59375,0.01
1.335278425455224,0.625,0.01
1.7191958485504444,0.40625,0.01
1.407474875881684,0.59375,0.01
1.3383884557700485,0.59375,0.01
1.3229670750713443,0.6875,0.01
1.4435747436601858,0.59375,0.01
1.9335830806402126,0.46875,0.01
1.602324352955205,0.5,0.01
1.2511250653786863,0.75,0.01
1.8842689699532311,0.40625,0.01
1.5244946453980994,0.59375,0.01
1.3783791594661914,0.65625,0.01
1.4918753922856387,0.65625,0.01
1.3508744249254763,0.625,0.01
1.2291572361817118,0.65625,0.01
1.3317700476708094,0.5625,0.01
1.5682750404915229,0.5625,0.01
1.1665393998951463,0.6875,0.01
1.5453847796443785,0.4375,0.01
1.7738474245948728,0.4375,0.01
1.2787499444341224,0.5625,0.01
1.4211204522254812,0.59375,0.01
1.5046708755572453,0.5625,0.01
1.3498091752934922,0.625,0.01
1.617649029956825,0.46875,0.01
1.579750262698427,0.5,0.01
1.4019056869754354,0.625,0.01
1.3393377144317413,0.53125,0.01
1.3031468721969321,0.6875,0.01
1.5209473985650144,0.59375,0.01
1.5269312384451108,0.5625,0.01
1.4243427624898564,0.59375,0.01
1.3365448504782171,0.5,0.01
1.1594899635291223,0.6875,0.01
1.4055053235977695,0.5625,0.01
1.4742476355290013,0.53125,0.01
